filename,words,year_float,characters,num_pages,orientation,year,words_per_page,chars_per_word,appx_start,ref_start,appx_len_chars,ref_len_chars,appx_len_words,ref_len_words,appx_prop_words,ref_prop_words,appx_prop_chars,ref_prop_chars,ref_words_per_char,appx_words_per_char,body_len_chars,body_len_words
2000/p107-litiu,6217,2000.0,41968,10,0.0,2000,621.7,6.750522760173717,False,37115,0,4853,0,663,0.0,0.1066430754383143,0.0,0.11563572245520397,7.319758672699849,,37115,5554
2000/p117-roussev,8303,2000.0,56872,10,0.0,2000,830.3,6.84957244369505,False,54908,0,1964,0,256,0.0,0.030832229314705528,0.0,0.03453368968912646,7.671875,,54908,8047
2000/p11-jackson,8651,2000.0,55392,10,0.0,2000,865.1,6.402959195468732,False,50490,0,4902,0,708,0.0,0.08184024968211767,0.0,0.08849653379549394,6.923728813559322,,50490,7943
2000/p127-he,5845,2000.0,38047,8,0.0,2000,730.625,6.509324208725406,False,35143,0,2904,0,396,0.0,0.06775021385799829,0.0,0.07632664861881357,7.333333333333333,,35143,5449
2000/p135-cadiz,10502,2000.0,71989,10,0.0,2000,1050.2,6.8547895638925915,False,68880,0,3109,0,391,0.0,0.037231003618358405,0.0,0.043187153592910026,7.951406649616368,,68880,10111
2000/p145-singley,7227,2000.0,49436,10,0.0,2000,722.7,6.840459388404594,False,44127,0,5309,0,703,0.0,0.0972741109727411,0.0,0.10739137470669148,7.551920341394026,,44127,6524
2000/p155-kuzuoka,4914,2000.0,32546,8,0.0,2000,614.25,6.623117623117623,False,28996,0,3550,0,470,0.0,0.09564509564509564,0.0,0.1090763841946783,7.553191489361702,,28996,4444
2000/p163-yano,4807,2000.0,31414,8,0.0,2000,600.875,6.53505304763886,False,29101,0,2313,0,305,0.0,0.06344913667568129,0.0,0.07362959190169988,7.583606557377049,,29101,4502
2000/p171-vidot,10019,2000.0,61345,10,0.0,2000,1001.9,6.122866553548258,False,57575,0,3770,0,512,0.0,0.051102904481485176,0.0,0.06145570136115413,7.36328125,,57575,9507
2000/p181-mauve,8108,2000.0,50189,10,0.0,2000,810.8,6.190059200789344,False,46790,0,3399,0,501,0.0,0.0617908238776517,0.0,0.06772400326764828,6.7844311377245505,,46790,7607
2000/p191-sun,9192,2000.0,56020,10,0.0,2000,919.2,6.094429939077458,False,54222,0,1798,0,241,0.0,0.02621845082680592,0.0,0.032095680114244914,7.460580912863071,,54222,8951
2000/p1-boyle,7270,2000.0,46872,10,0.0,2000,727.0,6.4473177441540575,False,44454,0,2418,0,333,0.0,0.04580467675378267,0.0,0.051587301587301584,7.261261261261262,,44454,6937
2000/p201-palen,10388,2000.0,73182,10,0.0,2000,1038.8,7.044859453215248,False,70874,0,2308,0,321,0.0,0.03090103966114748,0.0,0.0315378098439507,7.190031152647975,,70874,10067
2000/p211-fagrell,6558,2000.0,43614,10,0.0,2000,655.8,6.650503202195791,False,35265,0,8349,0,1134,0.0,0.1729185727355901,0.0,0.1914293575457422,7.362433862433862,,35265,5424
2000/p21-fussell,7424,2000.0,51484,10,0.0,2000,742.4,6.934806034482759,False,47761,0,3723,0,527,0.0,0.07098599137931035,0.0,0.07231372853702121,7.064516129032258,,47761,6897
2000/p221-han,7120,2000.0,49463,10,0.0,2000,712.0,6.947050561797753,False,45888,0,3575,0,394,0.0,0.05533707865168539,0.0,0.07227624689161595,9.073604060913706,,45888,6726
2000/p231-mcdonald,8163,2000.0,55083,10,0.0,2000,816.3,6.747886806321206,False,51751,0,3332,0,481,0.0,0.058924415043488915,0.0,0.06049053246918287,6.927234927234927,,51751,7682
2000/p241-herlocker,8190,2000.0,57228,10,0.0,2000,819.0,6.987545787545788,False,54743,0,2485,0,289,0.0,0.035286935286935286,0.0,0.04342280002795834,8.598615916955017,,54743,7901
2000/p251-greenspan,8337,2000.0,61841,10,0.0,2000,833.7,7.417656231258246,False,54614,0,7227,0,995,0.0,0.1193474871056735,0.0,0.11686421629663168,7.263316582914573,,54614,7342
2000/p261-guzdial,5766,2000.0,37947,8,0.0,2000,720.75,6.581165452653486,False,34994,0,2953,0,430,0.0,0.07457509538674992,0.0,0.07781906343057422,6.867441860465116,,34994,5336
2000/p269-twidale,8986,2000.0,58982,10,0.0,2000,898.6,6.563765858001336,False,49565,0,9417,0,1237,0.0,0.1376585800133541,0.0,0.1596588789800278,7.612772837510105,,49565,7749
2000/p279-bernstein,7934,2000.0,53197,10,0.0,2000,793.4,6.7049407612805645,False,45437,0,7760,0,1074,0.0,0.1353667759011848,0.0,0.14587288756884786,7.225325884543762,,45437,6860
2000/p289-cox,7532,2000.0,49961,10,0.0,2000,753.2,6.633165161975571,False,46538,0,3423,0,482,0.0,0.06399362719065321,0.0,0.06851344048357719,7.101659751037344,,46538,7050
2000/p299-farnham,7877,2000.0,53277,10,0.0,2000,787.7,6.763615589691507,False,49117,0,4160,0,564,0.0,0.0716008632728196,0.0,0.07808247461381083,7.375886524822695,,49117,7313
2000/p309-cadiz,7168,2000.0,50767,10,0.0,2000,716.8,7.082449776785714,False,46750,0,4017,0,527,0.0,0.07352120535714286,0.0,0.07912620403017709,7.622390891840607,,46750,6641
2000/p319-herbsleb,8047,2000.0,53635,10,0.0,2000,804.7,6.665216851000372,False,48367,0,5268,0,752,0.0,0.09345097551882689,0.0,0.09821944625710823,7.00531914893617,,48367,7295
2000/p31-cohen,6731,2000.0,44463,9,0.0,2000,747.8888888888889,6.6057049472589515,False,39033,0,5430,0,727,0.0,0.10800772544941316,0.0,0.12212401322447879,7.4690508940852816,,39033,6004
